Marker	UISO early	UISO late	WaGa	Mkl-1	MCC13	MCC26
AMEL	X	X	X,Y	X,Y	X	X
CSF1PO	12	12	12	11,12	12	10,11
D13S317	11,15	11,15	8,13	8,11	12	13,14
D16S539	10,11	10,11	11,12	10,12	9,11	11,13
D18S51	13,14	13,14	10,13	12,18	16,17	15,18
D19S433	13,16	13,16	14,16	14.2,15.2	15	16
D21S11	31.2,32.2	31.2,32.2	28,30	30	30,31	31,32.2
D2S1338	19,24	19,24	20,23	17	19,20	23,26
D3S1358	16,17	16,17	14	16	16,18	17
D5S818	11,13	11,13	12	11,12	9,12	12
D7S820	10,13	10,13	10	8,11	10	8,9
D8S1179	15	15	10,13	10	13,14	8,10
FGA	24,25	24,25	19	21,25	19	24,25
TH01	6,9	6,9	9.3	9,9.3	7,9.3	9.3
TPOX	11	11	8,11	8	8	8
vWA	16,17	16,17	16,17	16,18	17	16,18
Penta D					13,14	12,14
Penta E					11,14	11,14
